Section,ID,Description,Heads of Families,Wives,Children (under 15),Young Persons (15-20),Unmarried Men/Widowers,Total,A,B,C,D,E,F,G,H,Total
Labour,1,"Lowest class, loafers, &c.",433,425,89,254,332,1533,1533,0,0,0,0,0,0,0,1533
Labour,2,Casual day-to-day labour,2705,2652,5315,1184,1019,12875,0,12475,400,0,0,0,0,0,12875
Labour,3,Irregular labour,952,933,1876,418,359,4538,0,1130,2823,0,585,0,0,0,4538
Labour,4,"Regular work, low pay",2847,2792,5445,1214,1072,13370,0,191,0,13179,0,0,0,0,13370
Labour,5,"Regular work, ordinary pay",3421,3355,6921,1543,1288,16528,0,131,0,2562,13835,0,0,0,16528
Labour,6,Foremen and responsible work,1297,1272,2676,584,488,6317,0,0,0,0,88,6229,0,0,6317
Artisans,7,Building trades,2537,2487,5294,1180,956,12454,36,1014,1066,1950,7554,834,0,0,12454
Artisans,8,"Furniture, wood-work, &c.",2024,1985,4335,966,762,10072,17,813,756,1700,6111,675,0,0,10072
Artisans,9,Machinery and metals,2908,2851,5933,1322,1095,14109,9,456,783,1452,10284,1125,0,0,14109
Artisans,10,Sundry artisans,1349,1323,2804,625,508,6609,9,237,445,445,3284,2189,0,0,6609
Artisans,11,Dress,779,764,1617,360,294,3814,9,341,624,624,1773,443,0,0,3814
Artisans,12,Food preparation,505,495,1025,229,190,2444,0,108,186,186,1964,0,0,0,2444
Locomotion,13,Railway service,763,748,1600,357,288,3756,0,46,0,80,1517,2113,0,0,3756
Locomotion,14,Road service,289,284,556,125,108,1362,0,73,115,295,789,90,0,0,1362
Assistants,15,Shops and refreshment houses,625,613,1267,283,235,3023,0,84,18,128,2393,400,0,0,3023
Other wages,16,"Police, soldiers, sub-officials",611,599,1284,286,229,3009,0,81,0,147,2778,0,0,0,3009
Other wages,17,Seamen,1291,1266,2193,488,486,5724,0,159,280,0,5285,0,0,0,5724
Other wages,18,Other wage earners,479,470,678,152,180,1959,0,55,47,48,1809,0,0,0,1959
Manufacture &c.,19,"Home industries, not employing",354,347,727,163,133,1724,0,153,480,0,1091,0,0,0,1724
Manufacture &c.,20,Small employers,427,419,945,211,160,2162,0,0,0,0,454,975,597,136,2162
Manufacture &c.,21,Large employers,83,82,172,39,31,407,0,0,0,0,0,0,270,137,407
Dealers,22,"Street sellers, &c.",259,254,542,121,98,1274,27,180,243,210,578,36,0,0,1274
Dealers,23,General dealers,183,180,349,78,69,859,0,26,175,95,346,209,8,0,859
Dealers,24,Small shops,1059,1039,1721,383,399,4601,0,54,27,409,2145,1398,568,0,4601
Dealers,25,Large shops employing assistants,469,460,1042,233,176,2380,0,0,0,0,52,720,670,938,2380
Refreshments,26,Coffee and boarding houses,121,119,234,52,46,572,0,0,0,12,40,234,286,0,572
Refreshments,27,Licensed houses,219,215,522,117,82,1155,0,0,0,0,44,191,595,325,1155
Salaried &c.,28,Clerks and agents,1411,1383,2830,631,531,6786,0,75,163,611,2864,1832,1018,223,6786
Salaried &c.,29,Subordinate professional,583,572,1176,262,220,2813,0,56,56,250,1048,955,392,56,2813
Salaried &c.,30,Professional,230,226,486,109,87,1138,0,0,0,0,0,88,110,940,1138
No work,31,Ill and no occupation,154,151,313,70,59,747,0,520,157,26,26,18,0,0,747
No work,32,Independent,107,105,172,38,40,462,0,0,0,0,212,102,124,24,462
Females,33,Semi-domestic employment,1030,0,1552,346,0,2928,10,1074,522,655,667,0,0,0,2928
Females,34,Dress,350,0,522,117,0,989,0,306,197,242,244,0,0,0,989
Females,35,Small trades,314,0,505,113,0,932,5,233,167,168,294,15,0,0,932
Females,36,Employing and professional,55,0,94,21,0,170,0,0,0,24,37,61,48,0,170
Females,37,Supported,213,0,329,74,0,616,0,75,10,38,493,0,0,0,616
Females,38,Independent,164,0,191,43,0,398,0,0,0,15,160,50,173,0,398
Females,39,Other adult women,0,0,0,0,0,9784,103,1261,615,1604,4412,1310,305,174,9784
