Class,,Description,Heads of Famlies,Wives,Children -15,Young Persons 15-20,Unmarried Males of 20 and Widowers,Total,A,B,C,D,E,F,G,H,Total
Labour,1,Loafers and criminals,300,300,41,148,118,907,907,,,,,,,,907
,2,Casual day-to-day-labour,681,681,1347,338,267,3314,,3182,132,,,,,,3314
,3,Irregular Labour,538,538,1029,258,211,2574,,504,2061,,9,,,,2574
,4,"Regular work, low pay",1093,1093,1895,475,430,4986,,70,,4881,35,,,,4986
,5,"Regular work, ordinary pay",1709,1709,3088,774,672,7952,,,,954,6936,62,,,7952
,6,Foremen and responsible work,145,145,271,68,57,686,,,,9,9,668,,,686
Artisans,7,Building trades,1788,1788,3268,822,703,8369,27,528,1350,1350,4320,794,,,8369
,8,"Furniture, woodwork",3365,3365,6392,1604,1320,16046,27,1168,2040,3263,8495,1053,,,16046
,9,Machinery and metals,1095,1095,2033,507,431,5161,9,188,387,798,3125,654,,,5161
,10a,Printing,977,977,1845,462,385,4646,,127,218,566,3001,734,,,4646
,10b,"Watches, instruments",323,323,600,150,127,1523,,55,126,198,813,331,,,1523
,10c,Furs and leather,497,497,920,230,195,2339,,135,233,476,1386,109,,,2339
,10d,Silk weaving,34,34,72,18,13,171,,19,29,10,103,10,,,171
,10e,Sundry artisans,962,962,1819,457,377,4577,9,254,536,1102,2438,238,,,4577
,11,Dress,2012,2012,3815,956,789,9584,,872,1586,2282,4496,348,,,9584
,12,Food preparation,414,414,748,187,162,1925,,74,160,483,1134,74,,,1925
Locomotion,13,Railway servants,147,147,274,68,58,694,,9,,99,468,118,,,694
,14,Road Service,289,289,586,146,114,1424,,38,103,272,973,38,,,1424
Assistants,15,Shops,731,731,1301,327,287,3377,18,160,169,815,2002,213,,,3377
,16,"Police, soldiers, and sub-officials",304,304,584,146,119,1457,,,,111,1126,220,,,1457
Other wages,17,Seamen,17,17,26,6,7,73,,,8,33,32,,,,73
,18,Other wage earners,1159,1159,1482,371,454,4625,,145,237,842,3119,282,,,4625
Manufacturers,19,Home industries (not employing),722,722,1388,348,283,3463,,258,430,660,1381,734,,,3463
,20,Small employers,634,634,1308,329,249,3154,,,9,29,343,1997,767,9,3154
,21,Large employers,34,34,65,16,13,162,,,,,,,135,27,162
Dealers,22,Street sellers,376,376,685,171,147,1755,36,286,573,340,493,27,,,1755
,23,General dealers,178,178,304,76,70,806,26,35,95,95,346,209,,,806
,24,Small shops,550,550,966,242,215,2523,,,35,238,1242,982,26,,2523
,25,Large shops (employing assistants),434,434,857,214,170,2109,,,,,47,650,595,817,2109
Refreshment,26,Coffee and boarding houses,82,82,156,39,32,391,,,,18,210,145,18,,391
,27,Licensed houses,140,140,244,61,55,640,,9,,27,27,149,253,175,640
Salaried,28,Clerks and Agents,719,719,1239,311,282,3270,,26,87,208,1357,1247,336,9,3270
,29,Subordinate professional,111,111,161,41,43,467,,8,8,32,162,184,65,8,467
,30,Professional,85,85,140,35,32,377,,,,,,26,26,325,377
No work,31,Ill and no occupation,65,65,115,29,26,300,,211,62,9,9,9,,,300
,32,Independent,36,36,56,14,14,156,,,,,74,33,41,8,156
Females,33,Semi-domestic employment,741,,1180,296,,2217,,1301,500,267,149,,,,2217
,34,Dress,410,,601,150,,1161,,364,270,344,178,5,,,1161
,35,Small trades,414,,640,160,,1214,5,398,274,369,158,5,5,,1214
,36,Employing and professional,52,,72,18,,142,,,,24,54,30,34,,142
,37,Supported,141,,198,49,,388,,49,49,138,152,,,,388
,38,Independent,22,,31,8,,61,,,,5,26,15,15,,61
,39,Other Adult women,,,,,,9995,96,940,1054,1918,4544,1109,210,124,9995
,,,,,,,,,1064,10473,11767,23265,54972,12378,2301,1378,121161
