Section,ID,Description,Heads of Families,Wives,Children (-15),Young Persons (15-20),Unmarried Men over 20 and Widowers,Total,A,B,C,D,E,F,G,H,Total
Labour,1,"Lowest class, loafers, &c.",183,183,103,87,196,752,752,0,0,0,0,0,0,0,752
Labour,2,Casual day-to-day labour,1430,1430,2559,656,681,6756,0,6546,210,0,0,0,0,0,6756
Labour,3,Irregular labour,430,430,801,206,205,2072,0,378,1436,0,258,0,0,0,2072
Labour,4,"Regular work, low pay",622,622,1105,283,296,2928,0,130,0,2798,0,0,0,0,2928
Labour,5,"Regular work, ordinary pay",1846,1846,3655,940,877,9164,0,83,0,2154,6927,0,0,0,9164
Labour,6,Foremen and responsible work,620,620,1202,309,295,3046,0,0,0,0,46,3000,0,0,3046
Artisans,7,Building trades,519,519,1043,267,250,2598,9,173,129,364,1611,312,0,0,2598
Artisans,8,"Furniture, wood work, &c.",681,681,1318,338,323,3341,9,158,134,468,2272,300,0,0,3341
Artisans,9,Machinery and metals,751,751,1440,369,357,3368,9,174,73,477,2642,293,0,0,3368
Artisans,10,Sundry artisans,456,456,854,219,217,2202,0,75,195,195,1021,716,0,0,2202
Artisans,11,Dress,170,170,300,77,81,798,9,127,15,160,367,120,0,0,798
Artisans,12,Food preparation,244,244,479,121,116,1204,9,54,0,290,851,0,0,0,1204
Locomotion,13,Railway servants,67,67,125,32,32,323,0,4,0,17,125,177,0,0,323
Locomotion,14,Road service,81,81,167,43,39,411,0,35,42,74,233,27,0,0,411
Assistants,15,Shops and refreshment houses,197,197,354,90,94,932,0,23,10,99,680,120,0,0,932
Other wages,16,"Police, soldiers, and sub-officials",224,224,422,108,106,1084,0,27,0,127,930,0,0,0,1084
Other wages,17,Seamen,375,375,628,161,178,1717,0,43,200,0,1474,0,0,0,1717
Other wages,18,Other wage earners,97,97,163,42,46,445,0,11,26,26,306,76,0,0,445
Manufacture,19,Home industries (not employing),196,196,404,104,94,994,0,71,222,0,701,0,0,0,994
Manufacture,20,Small employers,237,237,510,131,112,1227,0,0,0,172,423,540,294,98,1227
Manufacture,21,Large employers,49,49,95,24,23,240,0,0,0,0,0,0,160,80,240
Dealers,22,"Street sellers, &c.",182,182,343,88,86,881,27,131,215,121,368,19,0,0,881
Dealers,23,General dealers,74,74,137,35,35,355,0,24,89,48,128,66,0,0,355
Dealers,24,Small shops,352,352,694,177,167,1742,0,0,14,87,788,627,226,0,1742
Dealers,25,Large shops employing assistants,262,262,553,141,124,1342,0,0,0,0,18,384,544,396,1342
Refreshments,26,Coffee and boarding houses,90,90,158,40,43,421,0,0,0,0,42,126,253,0,421
Refreshments,27,Licensed houses,174,174,283,73,82,786,0,0,0,0,15,86,481,204,786
Salaried &c.,28,Clerks and agents,450,450,803,206,213,2122,0,21,0,191,891,554,338,127,2122
Salaried &c.,29,Subordinate professional,174,174,322,83,82,835,0,16,17,64,312,298,112,16,835
Salaried &c.,30,Professional,82,82,163,42,39,408,0,0,0,0,0,32,40,336,408
No work,31,Ill and no occupation,37,37,68,17,18,177,0,71,27,52,27,0,0,0,177
No work,32,Independent,32,32,40,10,15,129,0,0,0,0,69,15,45,0,129
Females,33,Semi-domestic employment,350,0,491,126,0,967,5,391,242,230,99,0,0,0,967
Females,34,Dress,198,0,284,73,0,555,0,153,132,154,116,0,0,0,555
Females,35,Small trades,125,0,190,49,0,364,5,92,67,68,127,5,0,0,364
Females,36,Employing and professional,13,0,19,5,0,37,0,0,0,4,23,5,5,0,37
Females,37,Supported,101,0,146,37,0,284,0,57,10,26,191,0,0,0,284
Females,38,Independent,35,0,74,19,0,128,0,0,0,10,52,10,56,0,128
Females,39,Other adult women,0,0,0,0,0,4628,67,728,284,681,1910,638,215,105,4628
